Grade,COURSE,Domain or Conceptual Theme,Cluster,Standard #,Standard
7,,NS,A,1a,"CC.7.NS.1a Describe situations in which opposite quantities combine to make 0. For example, a hydrogen atom has 0 charge because its two constituents are oppositely charged. "
7,,NS,A,1b,"CC.7.NS.1b Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts."
7,,NS,A,1c,"CC.7.NS.1c Understand subtraction of rational numbers as adding the additive inverse, p – q = p + (–q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts."
7,,NS,A,1d,CC.7.NS.1d Apply properties of operations as strategies to add and subtract rational numbers. 
7,,NS,A,2,"CC.7.NS.2 Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.  Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers. "
7,,NS,A,2a,"CC.7.NS.2a Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (–1)(–1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts."
7,,NS,A,2b,"CC.7.NS.2b Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers then –(p/q) = (–p)/q = p/(–q). Interpret quotients of rational numbers by describing real-world contexts."
7,,NS,A,2c,CC.7.NS.2c Apply properties of operations as strategies to multiply and divide rational numbers.
7,,NS,A,2d,CC.7.NS.2d Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.
7,,NS,A,3,"CC.7.NS.3 Apply and extend previous understandings of operations with fractions to add, subtract, multiply, and divide rational numbers.  Solve real-world and mathematical problems involving the four operations with rational numbers.  (Computations with rational numbers extend the rules for manipulating fractions to complex fractions.)
"
7,,EE,A,1,"CC.7.EE.1 Use properties of operations to generate equivalent expressions. Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients."
7,,EE,A,2,"CC.7.EE.2 Use properties of operations to generate equivalent expressions. Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related. For example, a + 0.05a = 1.05a means that “increase by 5%” is the same as “multiply by 1.05.”"
7,,EE,B,3,"CC.7.EE.3 Solve real-life and mathematical problems using numerical and algebraic expressions and equations. Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations as strategies to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies. For example: If a woman making $25 an hour gets a 10% raise, she will make an additional 1/10 of her salary an hour, or $2.50, for a new salary of $27.50. If you want to place a towel bar 9 3/4 inches long in the center of a door that is 27 1/2 inches wide, you will need to place the bar about 9 inches from each edge; this estimate can be used as a check on the exact computation."
7,,EE,B,4,"CC.7.EE.4 Solve real-life and mathematical problems using numerical and algebraic expressions and equations. Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities."
7,,EE,B,4a,"CC.7.EE.4a Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach. For example, The perimeter of a rectangle is 54 cm. Its length is 6 cm. What is its width?"
7,,EE,B,4b,"CC.7.EE.4b Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem. For example, As a salesperson, you are paid $50 per week plus $3 per sale. This week you want your pay to be at least $100. Write an inequality for the number of sales you need to make, and describe the solutions."
7,,G,A,1,"CC.7.G.1 Draw, construct, and describe geometrical figures and describe the relationships between them. Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale."
7,,G,A,2,"CC.7.G.2 Draw, construct, and describe geometrical figures and describe the relationships between them.  Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle."
7,,G,A,3,"CC.7.G.3 Draw, construct, and describe geometrical figures and describe the relationships between them.  Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids. "
7,,G,B,4,"CC.7.G.4 Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.  Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle."
7,,G,B,5,"CC.7.G.5 Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.  Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure. "
7,,G,B,6,"CC.7.G.6 Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.  Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms. "
7,,SP,A,1,CC.7.SP.1 Use random sampling to draw inferences about a population. Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.
7,,SP,A,2,"CC.7.SP.2 Use random sampling to draw inferences about a population. Use data from a random sample to draw inferences about a population with an unknown characteristic of interest.  Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions. For example, estimate the mean word length in a book by randomly sampling words from the book; predict the winner of a school election based on randomly sampled survey data. Gauge how far off the estimate or prediction might be."
7,,SP,B,3,"CC.7.SP.3 Draw informal comparative inferences about two populations.  Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability. For example, the mean height of players on the basketball team is 10 cm greater than the mean height of players on the soccer team, about twice the variability (mean absolute deviation) on either team; on a dot plot, the separation between the two distributions of heights is noticeable."
7,,SP,B,4,"CC.7.SP.4 Draw informal comparative inferences about two populations. Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations. For example, decide whether the words in a chapter of a seventh-grade science book are generally longer than the words in a chapter of a fourth-grade science book."
7,,SP,C,5,"CC.7.SP.5 Investigate chance processes and develop, use, and evaluate probability models. Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event."
7,,SP,C,6,"CC.7.SP.6 Investigate chance processes and develop, use, and evaluate probability models. Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability. For example, when rolling a number cube 600 times, predict that a 3 or 6 would be rolled roughly 200 times, but probably not exactly 200 times."
7,,SP,C,7,"CC.7.SP.7 Investigate chance processes and develop, use, and evaluate probability models. Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy. "
7,,SP,C,7a,"CC.7.SP.7a Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events. For example, if a student is selected at random from a class, find the probability that Jane will be selected and the probability that a girl will be selected."
7,,SP,C,7b,"CC.7.SP.7b Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process. For example, find the approximate probability that a spinning penny will land heads up or that a tossed paper cup will land open-end down. Do the outcomes for the spinning penny appear to be equally likely based on the observed frequencies?"
7,,SP,C,8,"CC.7.SP.8 Investigate chance processes and develop, use, and evaluate probability models. Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation."
7,,SP,C,8a,"CC.7.SP.8a Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs."
7,,SP,C,8b,"CC.7.SP.8b Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., “rolling double sixes”), identify the outcomes in the sample space which compose the event."
7,,SP,C,8c,"CC.7.SP.8c Design and use a simulation to generate frequencies for compound events.  For example, use random digits as a simulation tool to approximate the answer to the question: If 40% of donors have type A blood, what is the probability that it will take at least 4 donors to find one with type A blood?"
8,,NS,A,1,"CC.8.NS.1. Know that there are numbers that are not rational, and approximate them by rational numbers. Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number."
8,,NS,A,2,"CC.8.NS.2 Know that there are numbers that are not rational, and approximate them by rational numbers. Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., π^2). For example, by truncating the decimal expansion of √2 (square root of 2), show that √2 is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations."
8,,EE,A,1,"CC.8.EE.1 Work with radicals and integer exponents. Know and apply the properties of integer exponents to generate equivalent numerical expressions. For example, 3^2 × 3^(–5) = 3^(–3) = 1/(3^3) = 1/27."
8,,EE,A,2,"CC.8.EE.2 Work with radicals and integer exponents. Use square root and cube root symbols to represent solutions to equations of the form x^2 = p and x^3 = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational."
8,,EE,A,3,"CC.8.EE.3 Work with radicals and integer exponents. Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other. For example, estimate the population of the United States as 3 × 10^8 and the population of the world as 7 × 10^9, and determine that the world population is more than 20 times larger."
8,,EE,A,4,"CC.8.EE.4 Work with radicals and integer exponents. Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology."
8,,EE,B,5,"CC.8.EE.5 Understand the connections between proportional relationships, lines, and linear equations.  Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed."
8,,EE,B,6,"CC.8.EE.6 Understand the connections between proportional relationships, lines, and linear equations. Use similar triangles to explain why the slope m is the same between any two distinct points on a non-vertical line in the coordinate plane; derive the equation y =mx for a line through the origin and the equation y = mx + b for a line intercepting the vertical axis at b."
8,,EE,C,7,CC.8.EE.7 Analyze and solve linear equations and pairs of simultaneous linear equations.  Solve linear equations in one variable.
8,,EE,C,7a,"CC.8.EE.7a Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers)."
8,,EE,C,7b,"CC.8.EE.7b Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms."
8,,EE,C,8,CC.8.EE.8 Analyze and solve linear equations and pairs of simultaneous linear equations. Analyze and solve pairs of simultaneous linear equations.
8,,EE,C,8a,"CC.8.EE.8a Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously."
8,,EE,C,8b,"CC.8.EE.8b Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6."
8,,EE,C,8c,"CC.8.EE.8c Solve real-world and mathematical problems leading to two linear equations in two variables. For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pair."
8,,F,A,1,"CC.8.F.1 Define, evaluate, and compare functions. Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output.  (Function notation is not required in Grade 8.)"
8,,F,A,2,"CC.8.F.2 Define, evaluate, and compare functions. Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change. "
8,,F,A,3,"CC.8.F.3 Define, evaluate, and compare functions. Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear. For example, the function A = s^2 giving the area of a square as a function of its side length is not linear because its graph contains the points (1,1), (2,4) and (3,9), which are not on a straight line."
8,,F,B,4,"CC.8.F.4 Use functions to model relationships between quantities. Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values."
8,,F,B,5,"CC.8.F.5 Use functions to model relationships between quantities. Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally."
8,,G,A,1,"CC.8.G.1 Understand congruence and similarity using physical models, transparencies, or geometry software. Verify experimentally the properties of rotations, reflections, and translations: 
  --  a. Lines are taken to lines, and line segments to line segments of the same length.
  --  b. Angles are taken to angles of the same measure.
  --  c. Parallel lines are taken to parallel lines. "
8,,G,A,2,"CC.8.G.2 Understand congruence and similarity using physical models, transparencies, or geometry software.  Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them."
8,,G,A,3,"CC.8.G.3 Understand congruence and similarity using physical models, transparencies, or geometry software.  Describe the effect of dilations, translations, rotations and reflections on two-dimensional figures using coordinates."
8,,G,A,4,"CC.8.G.4 Understand congruence and similarity using physical models, transparencies, or geometry software.  Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them."
8,,G,A,5,"CC.8.G.5 Understand congruence and similarity using physical models, transparencies, or geometry software.  Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles. For example, arrange three copies of the same triangle so that the three angles appear to form a line, and give an argument in terms of transversals why this is so."
8,,G,B,6,CC.8.G.6 Understand and apply the Pythagorean Theorem. Explain a proof of the Pythagorean Theorem and its converse.  
8,,G,B,7,CC.8.G.7 Understand and apply the Pythagorean Theorem.  Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.
8,,G,B,8,CC.8.G.8 Understand and apply the Pythagorean Theorem. Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.
8,,G,C,9,"CC.8.G.9 Solve real-world and mathematical problems involving volume of cylinders, cones and spheres. Know the formulas for the volume of cones, cylinders, and spheres and use them to solve real-world and mathematical problems."
8,,SP,A,1,"CC.8.SP.1 Investigate patterns of association in bivariate data. Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association."
8,,SP,A,2,"CC.8.SP.2 Investigate patterns of association in bivariate data. Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line."
8,,SP,A,3,"CC.8.SP.3 Investigate patterns of association in bivariate data. Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept. For example, in a linear model for a biology experiment, interpret a slope of 1.5 cm/hr as meaning that an additional hour of sunlight each day is associated with an additional 1.5 cm in mature plant height."
8,,SP,A,4,"CC.8.SP.4 Investigate patterns of association in bivariate data. Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects.  Use relative frequencies calculated for rows or columns to describe possible association between the two variables.  For example, collect data from students in your class on whether or not they have a curfew on school nights and whether or not they have assigned chores at home.  Is there evidence that those who have a curfew also tend to have chores?"
9-12,HSN,RN,A,1,"CC.9-12.N.RN.1 Extend the properties of exponents to rational exponents. Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 5^(1/3) to be the cube root of 5 because we want [5^(1/3)]^3 = 5^[(1/3) x 3] to hold, so [5^(1/3)]^3 must equal 5."
9-12,HSN,RN,A,2,CC.9-12.N.RN.2 Extend the properties of exponents to rational exponents. Rewrite expressions involving radicals and rational exponents using the properties of exponents.
9-12,HSN,RN,B,3,CC.9-12.N.RN.3 Use properties of rational and irrational numbers. Explain why the sum or product of rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.
9-12,HSN,Q,A,1,CC.9-12.N.Q.1 Reason quantitatively and use units to solve problems.  Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.*
9-12,HSN,Q,A,2,CC.9-12.N.Q.2 Reason quantitatively and use units to solve problems.  Define appropriate quantities for the purpose of descriptive modeling.*
9-12,HSN,Q,A,3,CC.9-12.N.Q.3 Reason quantitatively and use units to solve problems. Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.*
9-12,HSN,CN,A,1,"CC.9-12.N.CN.1 Perform arithmetic operations with complex numbers. Know there is a complex number i such that i^2 = −1, and every complex number has the form a + bi with a and b real.  "
9-12,HSN,CN,A,2,"CC.9-12.N.CN.2 Perform arithmetic operations with complex numbers. Use the relation i^2 = –1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers."
9-12,HSN,CN,A,3,CC.9-12.N.CN.3 (+) Perform arithmetic operations with complex numbers. Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.
9-12,HSN,CN,B,4,"CC.9-12.N.CN.4 (+) Represent complex numbers and their operations on the complex plane. Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number."
9-12,HSN,CN,B,5,"CC.9-12.N.CN.5 (+) Represent complex numbers and their operations on the complex plane. Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation. For example, (-1 + √3i)^3 = 8 because (-1 + √3i) has modulus 2 and argument 120°."
9-12,HSN,CN,B,6,"CC.9-12.N.CN.6 (+) Represent complex numbers and their operations on the complex plane. Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints."
9-12,HSN,CN,C,7,CC.9-12.N.CN.7 Use complex numbers in polynomial identities and equations. Solve quadratic equations with real coefficients that have complex solutions.
9-12,HSN,CN,C,8,"CC.9-12.N.CN.8 (+) Use complex numbers in polynomial identities and equations. Extend polynomial identities to the complex numbers. For example, rewrite x^2 + 4 as (x + 2i)(x – 2i)."
9-12,HSN,CN,C,9,CC.9-12.N.CN.9 (+) Use complex numbers in polynomial identities and equations. Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.
9-12,HSN,VM,A,1,"CC.9-12.N.VM.1 (+) Represent and model with vector quantities. Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v(bold), |v|, ||v||, v(not bold))."
9-12,HSN,VM,A,2,CC.9-12.N.VM.2 (+) Represent and model with vector quantities. Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.
9-12,HSN,VM,A,3,CC.9-12.N.VM.3 (+) Represent and model with vector quantities.  Solve problems involving velocity and other quantities that can be represented by vectors.
9-12,HSN,VM,B,4,"CC.9-12.N.VM.4 (+) Perform operations on vectors. Add and subtract vectors.
"
9-12,HSN,VM,B,4a,"CC.9-12.N.VM.4a (+) Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes."
9-12,HSN,VM,B,4b,"CC.9-12.N.VM.4b (+) Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum. "
9-12,HSN,VM,B,4c,"CC.9-12.N.VM.4c (+) Understand vector subtraction v – w as v + (–w), where (–w) is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise."
9-12,HSN,VM,B,5,CC.9-12.N.VM.5 (+) Perform operations on vectors. Multiply a vector by a scalar.
9-12,HSN,VM,B,5a,"CC.9-12.N.VM.5a (+) Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v(sub x), v(sub y)) = (cv(sub x), cv(sub y))."
9-12,HSN,VM,B,5b,"CC.9-12.N.VM.5b (+) Compute the magnitude of a scalar multiple cv using ||cv|| = |c|v. Compute the direction of cv knowing that when |c|v ≠ 0, the direction of cv is either along v (for c > 0) or against v (for c < 0)."
9-12,HSN,VM,C,6,"CC.9-12.N.VM.6 (+) Perform operations on matrices and use matrices in applications. Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network. "
9-12,HSN,VM,C,7,"CC.9-12.N.VM.7 (+) Perform operations on matrices and use matrices in applications. Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled. "
9-12,HSN,VM,C,8,"CC.9-12.N.VM.8 (+) Perform operations on matrices and use matrices in applications. Add, subtract, and multiply matrices of appropriate dimensions."
9-12,HSN,VM,C,9,"CC.9-12.N.VM.9 (+) Perform operations on matrices and use matrices in applications.  Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties. "
9-12,HSN,VM,C,10,CC.9-12.N.VM.10 (+) Perform operations on matrices and use matrices in applications. Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse. 
9-12,HSN,VM,C,11,CC.9-12.N.VM.11 (+) Perform operations on matrices and use matrices in applications. Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors.
9-12,HSN,VM,C,12,"CC.9-12.N.VM.12 (+) Perform operations on matrices and use matrices in applications. Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area. "
9-12,HSA,SSE,A,1,CC.9-12.A.SSE.1 Interpret the structure of expressions. Interpret expressions that represent a quantity in terms of its context.*
9-12,HSA,SSE,A,1a,"CC.9-12.A.SSE.1a Interpret parts of an expression, such as terms, factors, and coefficients.*"
9-12,HSA,SSE,A,1b,"CC.9-12.A.SSE.1b Interpret complicated expressions by viewing one or more of their parts as a single entity. For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
9-12,HSA,SSE,A,2,"CC.9-12.A.SSE.2 Interpret the structure of expressions. Use the structure of an expression to identify ways to rewrite it. For example, see x^4 – y^4 as (x^2)^2 – (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 – y^2)(x^2 + y^2)."
9-12,HSA,SSE,B,3,CC.9-12.A.SSE.3  Write expressions in equivalent forms to solve problems. Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
9-12,HSA,SSE,B,3a,CC.9-12.A.SSE.3a Factor a quadratic expression to reveal the zeros of the function it defines.*
9-12,HSA,SSE,B,3b,CC.9-12.A.SSE.3b Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
9-12,HSA,SSE,B,3c,CC.9-12.A.SSE.3c Use the properties of exponents to transform expressions for exponential functions. For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) ≈ 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
9-12,HSA,SSE,B,4,"CC.9-12.A.SSE.4 Write expressions in equivalent forms to solve problems. Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
9-12,HSA,APR,A,1,"CC.9-12.A.APR.1 Perform arithmetic operations on polynomials. Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
9-12,HSA,APR,B,2,"CC.9-12.A.APR.2 Understand the relationship between zeros and factors of polynomial. Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x – a is p(a), so p(a) = 0 if and only if (x – a) is a factor of p(x)."
9-12,HSA,APR,B,3,"CC.9-12.A.APR.3 Understand the relationship between zeros and factors of polynomials. Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
9-12,HSA,APR,C,4,"CC.9-12.A.APR.4 Use polynomial identities to solve problems. Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 – y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
9-12,HSA,APR,C,5,"CC.9-12.A.APR.5 (+) Use polynomial identities to solve problems. Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by Pascal’s Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument.)"
9-12,HSA,APR,D,6,"CC.9-12.A.APR.6 Rewrite rational expressions. Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
9-12,HSA,APR,D,7,"CC.9-12.A.APR.7 (+) Rewrite rational expressions. Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions."
9-12,HSA,CED,A,1,"CC.9-12.A.CED.1 Create equations that describe numbers or relationship. Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
9-12,HSA,CED,A,2,CC.9-12.A.CED.2 Create equations that describe numbers or relationship. Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
9-12,HSA,CED,A,3,"CC.9-12.A.CED.3 Create equations that describe numbers or relationship. Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
9-12,HSA,CED,A,4,"CC.9-12.A.CED.4 Create equations that describe numbers or relationship. Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R.*"
9-12,HSA,REI,A,1,"CC.9-12.A.REI.1 Understand solving equations as a process of reasoning and explain the reasoning.  Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
9-12,HSA,REI,A,2,"CC.9-12.A.REI.2 Understand solving equations as a process of reasoning and explain the reasoning. Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
9-12,HSA,REI,B,3,"CC.9-12.A.REI.3 Solve equations and inequalities in one variable. Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters. "
9-12,HSA,REI,B,4,CC.9-12.A.REI.4 Solve equations and inequalities in one variable. Solve quadratic equations in one variable. 
9-12,HSA,REI,B,4a,CC.9-12.A.REI.4a Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x – p)^2 = q that has the same solutions. Derive the quadratic formula from this form. 
9-12,HSA,REI,B,4b,"CC.9-12.A.REI.4b Solve quadratic equations by inspection (e.g., for x^2 = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b."
9-12,HSA,REI,C,5,"CC.9-12.A.REI.5 Solve systems of equations. Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
9-12,HSA,REI,C,6,"CC.9-12.A.REI.6 Solve systems of equations.  Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
