 Grade, Strand,Standard #,Synonym,Standard
3,L,1.c,,"CC.3.L.1.c Conventions of Standard English: Use abstract nouns (e.g., childhood)."
3,L,1.d,,CC.3.L.1.d Conventions of Standard English: Form and use regular and irregular verbs.
3,L,1.e,,"CC.3.L.1.e Conventions of Standard English: Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses."
3,L,1.f,,CC.3.L.1.f Conventions of Standard English: Ensure subject-verb and pronoun-antecedent agreement.*
3,L,1.g,,"CC.3.L.1.g Conventions of Standard English: Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified."
3,L,1.h,,CC.3.L.1.h Conventions of Standard English: Use coordinating and subordinating conjunctions.
3,L,1.i,,"CC.3.L.1.i Conventions of Standard English: Produce simple, compound, and complex sentences."
3,L,2,,"CC.3.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
3,L,2.a,,CC.3.L.2.a Conventions of Standard English: Capitalize appropriate words in titles.
3,L,2.b,,CC.3.L.2.b Conventions of Standard English: Use commas in addresses.
3,L,2.c,,CC.3.L.2.c Conventions of Standard English: Use commas and quotation marks in dialogue.
3,L,2.d,,CC.3.L.2.d Conventions of Standard English: Form and use possessives.
3,L,2.e,,"CC.3.L.2.e Conventions of Standard English: Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness)."
3,L,2.f,,"CC.3.L.2.f Conventions of Standard English: Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words."
3,L,2.g,,"CC.3.L.2.g Conventions of Standard English: Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
3,L,3,,"CC.3.L.3 Knowledge of Language: Use knowledge of language and its conventions when writing, speaking, reading, or listening."
3,L,3.a,,CC.3.L.3.a Knowledge of Language: Choose words and phrases for effect.*
3,L,3.b,,CC.3.L.3.b Knowledge of Language: Recognize and observe differences between the conventions of spoken and written standard English.
3,L,4,,"CC.3.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies."
3,L,4.a,,CC.3.L.4.a Vocabulary Acquisition and Use: Use sentence-level context as a clue to the meaning of a word or phrase.
3,L,4.b,,"CC.3.L.4.b Vocabulary Acquisition and Use: Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat)."
3,L,4.c,,"CC.3.L.4.c Vocabulary Acquisition and Use: Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion)."
3,L,4.d,,"CC.3.L.4.d Vocabulary Acquisition and Use: Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases."
3,L,5,,CC.3.L.5 Vocabulary Acquisition and Use: Demonstrate understanding of word relationships and nuances in word meanings.
3,L,5.a,,"CC.3.L.5.a Vocabulary Acquisition and Use: Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps)."
3,L,5.b,,"CC.3.L.5.b Vocabulary Acquisition and Use: Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)."
3,L,5.c,,"CC.3.L.5.c Vocabulary Acquisition and Use: Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)."
3,L,6,,"CC.3.L.6 Vocabulary Acquisition and Use: Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)."
4,L,1,,CC.4.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
4,L,1.a,,"CC.4.L.1.a Conventions of Standard English: Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why)."
4,L,1.b,,"CC.4.L.1.b Conventions of Standard English: Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses."
4,L,1.c,,"CC.4.L.1.c Conventions of Standard English: Use modal auxiliaries (e.g., can, may, must) to convey various conditions."
4,L,1.d,,"CC.4.L.1.d Conventions of Standard English: Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag)."
4,L,1.e,,CC.4.L.1.e Conventions of Standard English: Form and use prepositional phrases.
4,L,1.f,,"CC.4.L.1.f Conventions of Standard English: Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*"
4,L,1.g,,"CC.4.L.1.g Conventions of Standard English: Correctly use frequently confused words (e.g., to, too, two; there, their).*"
4,L,2,,"CC.4.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
4,L,2.a,,CC.4.L.2.a Conventions of Standard English: Use correct capitalization.
4,L,2.b,,CC.4.L.2.b Conventions of Standard English: Use commas and quotation marks to mark direct speech and quotations from a text.
4,L,2.c,,CC.4.L.2.c Conventions of Standard English: Use a comma before a coordinating conjunction in a compound sentence.
4,L,2.d,,"CC.4.L.2.d Conventions of Standard English: Spell grade-appropriate words correctly, consulting references as needed."
4,L,3,,"CC.4.L.3 Knowledge of Language: Use knowledge of language and its conventions when writing, speaking, reading, or listening."
4,L,3.a,,CC.4.L.3.a Knowledge of Language: Choose words and phrases to convey ideas precisely.*
4,L,3.b,,CC.4.L.3.b Knowledge of Language: Choose punctuation for effect.*
4,L,3.c,,"CC.4.L.3.c Knowledge of Language: Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion)."
4,L,4,,"CC.4.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies."
4,L,4.a,,"CC.4.L.4.a Vocabulary Acquisition and Use: Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase."
4,L,4.b,,"CC.4.L.4.b Vocabulary Acquisition and Use: Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph)."
4,L,4.c,,"CC.4.L.4.c Vocabulary Acquisition and Use: Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
4,L,5,,"CC.4.L.5 Vocabulary Acquisition and Use: Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
4,L,5.a,,"CC.4.L.5.a Vocabulary Acquisition and Use: Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context."
4,L,5.b,,"CC.4.L.5.b Vocabulary Acquisition and Use: Recognize and explain the meaning of common idioms, adages, and proverbs."
4,L,5.c,,CC.4.L.5.c Vocabulary Acquisition and Use: Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).
4,L,6,,"CC.4.L.6 Vocabulary Acquisition and Use: Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation)."
5,L,1,,CC.5.L.1 Conventions of Standard English: Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
5,L,1.a,,"CC.5.L.1.a Conventions of Standard English: Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences."
5,L,1.b,,"CC.5.L.1.b Conventions of Standard English: Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses."
5,L,1.c,,"CC.5.L.1.c Conventions of Standard English: Use verb tense to convey various times, sequences, states, and conditions."
5,L,1.d,,CC.5.L.1.d Conventions of Standard English: Recognize and correct inappropriate shifts in verb tense.*
5,L,1.e,,"CC.5.L.1.e Conventions of Standard English: Use correlative conjunctions (e.g., either/or, neither/nor)."
5,L,2,,"CC.5.L.2 Conventions of Standard English: Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
5,L,2.a,,CC.5.L.2.a Conventions of Standard English: Use punctuation to separate items in a series.*
5,L,2.b,,CC.5.L.2.b Conventions of Standard English: Use a comma to separate an introductory element from the rest of the sentence.
5,L,2.c,,"CC.5.L.2.c Conventions of Standard English: Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It’s true, isn’t it?), and to indicate direct address (e.g., Is that you, Steve?)."
5,L,2.d,,"CC.5.L.2.d Conventions of Standard English: Use underlining, quotation marks, or italics to indicate titles of works."
5,L,2.e,,"CC.5.L.2.e Conventions of Standard English: Spell grade-appropriate words correctly, consulting references as needed."
5,L,3,,"CC.5.L.3 Knowledge of Language: Use knowledge of language and its conventions when writing, speaking, reading, or listening."
5,L,3.a,,"CC.5.L.3.a Knowledge of Language: Expand, combine, and reduce sentences for meaning, reader/listener interest, and style."
5,L,3.b,,"CC.5.L.3.b Knowledge of Language: Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems."
5,L,4,,"CC.5.L.4 Vocabulary Acquisition and Use: Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies."
5,L,4.a,,"CC.5.L.4.a Vocabulary Acquisition and Use: Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase."
5,L,4.b,,"CC.5.L.4.b Vocabulary Acquisition and Use: Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
5,L,4.c,,"CC.5.L.4.c Vocabulary Acquisition and Use: Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
5,L,5,,"CC.5.L.5 Vocabulary Acquisition and Use: Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
5,L,5.a,,"CC.5.L.5.a Vocabulary Acquisition and Use: Interpret figurative language, including similes and metaphors, in context."
5,L,5.b,,"CC.5.L.5.b Vocabulary Acquisition and Use: Recognize and explain the meaning of common idioms, adages, and proverbs."
5,L,5.c,,"CC.5.L.5.c Vocabulary Acquisition and Use: Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
5,L,6,,"CC.5.L.6 Vocabulary Acquisition and Use: Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
6,RL,1,,CC.6.R.L.1 Key Ideas and Details: Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
6,RL,2,,CC.6.R.L.2 Key Ideas and Details: Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
6,RL,3,,CC.6.R.L.3 Key Ideas and Details: Describe how a particular story’s or drama’s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.
6,RL,4,,"CC.6.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone."
6,RL,5,,"CC.6.R.L.5 Craft and Structure: Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot."
6,RL,6,,CC.6.R.L.6 Craft and Structure: Explain how an author develops the point of view of the narrator or speaker in a text.
6,RL,7,,"CC.6.R.L.7 Integration of Knowledge and Ideas: Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they “see” and “hear” when reading the text to what they perceive when they listen or watch."
6,RL,9,,"CC.6.R.L.9 Integration of Knowledge and Ideas: Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics."
6,RL,10,,"CC.6.R.L.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
7,RL,1,,CC.7.R.L.1 Key Ideas and Details: Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
7,RL,2,,CC.7.R.L.2 Key Ideas and Details: Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.
7,RL,3,,"CC.7.R.L.3 Key Ideas and Details: Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot)."
7,RL,4,,"CC.7.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama."
7,RL,5,,"CC.7.R.L.5 Craft and Structure: Analyze how a drama’s or poem’s form or structure (e.g., soliloquy, sonnet) contributes to its meaning."
7,RL,6,,CC.7.R.L.6 Craft and Structure: Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.
7,RL,7,,"CC.7.R.L.7 Integration of Knowledge and Ideas: Compare and contrast a story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film). "
7,RL,9,,"CC.7.R.L.9 Integration of Knowledge and Ideas: Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history."
7,RL,10,,"CC.7.R.L.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
8,RL,1,,CC.8.R.L.1 Key Ideas and Details: Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
8,RL,2,,"CC.8.R.L.2 Key Ideas and Details: Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text."
8,RL,3,,"CC.8.R.L.3 Key Ideas and Details: Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision."
8,RL,4,,"CC.8.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8,RL,5,,CC.8.R.L.5 Craft and Structure: Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.
8,RL,6,,"CC.8.R.L.6 Craft and Structure: Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor."
8,RL,7,,"CC.8.R.L.7 Integration of Knowledge and Ideas: Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors."
8,RL,9,,"CC.8.R.L.9 Integration of Knowledge and Ideas: Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new. "
8,RL,10,,"CC.8.R.L.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6–8 text complexity band independently and proficiently."
9-10,RL,1,,CC.9-10.R.L.1 Key Ideas and Details: Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
9-10,RL,2,,"CC.9-10.R.L.2 Key Ideas and Details: Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text."
9-10,RL,3,,"CC.9-10.R.L.3 Key Ideas and Details: Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme."
9-10,RL,4,,"CC.9-10.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone)."
9-10,RL,5,,"CC.9-10.R.L.5 Craft and Structure: Analyze how an author’s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise."
9-10,RL,6,,"CC.9-10.R.L.6 Craft and Structure: Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature. "
9-10,RL,7,,"CC.9-10.R.L.7 Integration of Knowledge and Ideas: Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden’s “Musée des Beaux Arts” and Breughel’s Landscape with the Fall of Icarus)."
9-10,RL,9,,"CC.9-10.R.L.9 Integration of Knowledge and Ideas: Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or topic from Ovid or the Bible or how a later author draws on a play by Shakespeare)."
9-10,RL,10,,"CC.9-10.R.L.10 Range of Reading and Level of Text Complexity: By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9–10 text complexity band independently and proficiently."
11-12,RL,1,,"CC.11-12.R.L.1 Key Ideas and Details: Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
11-12,RL,2,,"CC.11-12.R.L.2 Key Ideas and Details: Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text."
11-12,RL,3,,"CC.11-12.R.L.3 Key Ideas and Details: Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed)."
11-12,RL,4,,"CC.11-12.R.L.4 Craft and Structure: Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)"
11-12,RL,5,,"CC.11-12.R.L.5 Craft and Structure: Analyze how an author’s choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact."
11-12,RL,6,,"CC.11-12.R.L.6 Craft and Structure: Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement). "
11-12,RL,7,,"CC.11-12.R.L.7 Integration of Knowledge and Ideas: Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)"
11-12,RL,9,,"CC.11-12.R.L.9 Integration of Knowledge and Ideas: Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics."
11-12,RL,10,,"CC.11-12.R.L.10 Range of Reading and Level of Text Complexity: By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11–CCR text complexity band independently and proficiently."
6,RI,1,,CC.6.R.I.1 Key Ideas and Details: Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
6,RI,2,,CC.6.R.I.2 Key Ideas and Details: Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
6,RI,3,,"CC.6.R.I.3 Key Ideas and Details: Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes)."
6,RI,4,,"CC.6.R.I.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings."
6,RI,5,,"CC.6.R.I.5 Craft and Structure: Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas."
6,RI,6,,CC.6.R.I.6 Craft and Structure: Determine an author’s point of view or purpose in a text and explain how it is conveyed in the text.
6,RI,7,,"CC.6.R.I.7 Integration of Knowledge and Ideas: Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue."
6,RI,8,,"CC.6.R.I.8 Integration of Knowledge and Ideas: Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not."
6,RI,9,,"CC.6.R.I.9 Integration of Knowledge and Ideas: Compare and contrast one author’s presentation of events with that of another (e.g., a memoir written by and a biography on the same person)."
6,RI,10,,"CC.6.R.I.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
7,RI,1,,CC.7.R.I.1 Key Ideas and Details: Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
7,RI,2,,CC.7.R.I.2 Key Ideas and Details: Determine two or more central ideas in a text and analyze their development over the course of the text; provide an objective summary of the text.
7,RI,3,,"CC.7.R.I.3 Key Ideas and Details: Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events)."
7,RI,4,,"CC.7.R.I.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone."
7,RI,5,,"CC.7.R.I.5 Craft and Structure: Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas. "
7,RI,6,,CC.7.R.I.6 Craft and Structure: Determine an author’s point of view or purpose in a text and analyze how the author distinguishes his or her position from that of others.
7,RI,7,,"CC.7.R.I.7 Integration of Knowledge and Ideas: Compare and contrast a text to an audio, video, or multimedia version of the text, analyzing each medium’s portrayal of the subject (e.g., how the delivery of a speech affects the impact of the words). "
7,RI,8,,"CC.7.R.I.8 Integration of Knowledge and Ideas: Trace and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient to support the claims. "
7,RI,9,,CC.7.R.I.9 Integration of Knowledge and Ideas: Analyze how two or more authors writing about the same topic shape their presentations of key information by emphasizing different evidence or advancing different interpretations of facts.
7,RI,10,,"CC.7.R.I.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
8,RI,1,,CC.8.R.I.1 Key Ideas and Details: Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
8,RI,2,,"CC.8.R.I.2 Key Ideas and Details: Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text."
8,RI,3,,"CC.8.R.I.3 Key Ideas and Details: Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)."
8,RI,4,,"CC.8.R.I.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8,RI,5,,"CC.8.R.I.5 Craft and Structure: Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
8,RI,6,,CC.8.R.I.6 Craft and Structure: Determine an author’s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.
8,RI,7,,"CC.8.R.I.7 Integration of Knowledge and Ideas: Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
8,RI,8,,"CC.8.R.I.8 Integration of Knowledge and Ideas: Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced."
8,RI,9,,CC.8.R.I.9 Integration of Knowledge and Ideas: Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.
8,RI,10,,"CC.8.R.I.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6–8 text complexity band independently and proficiently."
9-10,RI,1,,CC.9-10.R.I.1 Key Ideas and Details: Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
9-10,RI,2,,"CC.9-10.R.I.2 Key Ideas and Details: Determine a central idea of a text and analyze its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text."
9-10,RI,3,,"CC.9-10.R.I.3 Key Ideas and Details: Analyze how the author unfolds an analysis or series of ideas or events, including the order in which the points are made, how they are introduced and developed, and the connections that are drawn between them."
9-10,RI,4,,"CC.9-10.R.I.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language of a court opinion differs from that of a newspaper)."
9-10,RI,5,,"CC.9-10.R.I.5 Craft and Structure: Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, or larger portions of a text (e.g., a section or chapter)."
9-10,RI,6,,CC.9-10.R.I.6 Craft and Structure: Determine an author’s point of view or purpose in a text and analyze how an author uses rhetoric to advance that point of view or purpose.
9-10,RI,7,,"CC.9-10.R.I.7 Integration of Knowledge and Ideas: Analyze various accounts of a subject told in different mediums (e.g., a person’s life story in both print and multimedia), determining which details are emphasized in each account."
9-10,RI,8,,"CC.9-10.R.I.8 Integration of Knowledge and Ideas: Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is valid and the evidence is relevant and sufficient; identify false statements and fallacious reasoning."
9-10,RI,9,,"CC.9-10.R.I.9 Integration of Knowledge and Ideas: Analyze seminal U.S. documents of historical and literary significance (e.g., Washington’s Farewell Address, the Gettysburg Address, Roosevelt’s Four Freedoms speech, King’s ""Letter From Birmingham Jail""), including how they address related themes and concepts."
9-10,RI,10,,"CC.9-10.R.I.10 Range of Reading and Level of Text Complexity: By the end of grade 9, read and comprehend literary nonfiction in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literary nonfiction at the high end of the grades 9–10 text complexity band independently and proficiently."
11-12,RI,1,,"CC.11-12.R.I.1 Key Ideas and Details: Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
11-12,RI,2,,"CC.11-12.R.I.2 Key Ideas and Details: Determine two or more central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to provide a complex analysis; provide an objective summary of the text."
11-12,RI,3,,"CC.11-12.R.I.3 Key Ideas and Details: Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text."
11-12,RI,4,,"CC.11-12.R.I.4 Craft and Structure: Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10)."
11-12,RI,5,,"CC.11-12.R.I.5 Craft and Structure: Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging."
11-12,RI,6,,"CC.11-12.R.I.6 Craft and Structure: Determine an author’s point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text. "
11-12,RI,7,,"CC.11-12.R.I.7 Integration of Knowledge and Ideas: Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem."
11-12,RI,8,,"CC.11-12.R.I.8 Integration of Knowledge and Ideas: Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses)."
11-12,RI,9,,"CC.11-12.R.I.9 Integration of Knowledge and Ideas: Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features."
11-12,RI,10,,"CC.11-12.R.I.10 Range of Reading and Level of Text Complexity: By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11–CCR text complexity band independently and proficiently."
